h3_index,lsoa21cd,percentage_coverage
89195da4e73ffff,E01000932,0.16
89195da4e73ffff,E01000965,64.01
89195da4e73ffff,E01000968,0.06
89194ad2c9bffff,E01001648,12.05
89194ad2c9bffff,E01001682,1.28
89194ad2c9bffff,E01001646,0.28
89194ad2c9bffff,E01001701,3.38
89195dae38fffff,E01002189,2.77
89195dae38fffff,E01002155,11.02
89194ad08b3ffff,E01000717,25.26
89194ad08b3ffff,E01000716,3.81
89194e69c47ffff,E01004434,0.47
89194e69c47ffff,E01004426,30.99
89194e69c47ffff,E01004424,6.51
89194e69c47ffff,E01004421,3.33
89194e69c47ffff,E01034488,0.04
89194e69c47ffff,E01004423,28.44
89195da6837ffff,E01002743,0.71
89195da6837ffff,E01002742,37.41
89195da6837ffff,E01002749,44.02
89195da6837ffff,E01002741,1.42
89195da6837ffff,E01002747,14.86
89195da6837ffff,E01001720,0.33
89194ad840bffff,E01003807,40.27
89194ad840bffff,E01003808,12.45
89194ad840bffff,E01003855,1.16
89194e6b60bffff,E01001437,2.8
89194e6b60bffff,E01033148,4.52
89195da444fffff,E01000197,0.27
89195da444fffff,E01000196,28.6
89195da444fffff,E01000204,7.4
89194e6f3b7ffff,E01000335,5.44
89194e6f3b7ffff,E01000466,0.07
89194ad9dcfffff,E01034576,12.06
89194ad9dcfffff,E01002968,0.16
89194ad9dcfffff,E01034577,96.09
89194ad9dcfffff,E01033569,24.1
89194ad2277ffff,E01032783,0.33
89194ad2277ffff,E01003249,19.8
89194ad2277ffff,E01032775,36.53
89195dad96bffff,E01034614,18.57
89195dad96bffff,E01002529,27.95
89195d36197ffff,E01002592,5.51
89194e69223ffff,E01001977,23.31
89194e69223ffff,E01002082,27.09
89194e69223ffff,E01002095,7.44
89195da5e13ffff,E01000483,31.54
89195da5e13ffff,E01033932,14.41
89195daf32fffff,E01002441,0.0
89195daf32fffff,E01002473,2.43
89194ac21a3ffff,E01001060,0.68
89194ac21a3ffff,E01001058,24.45
89194ac21a3ffff,E01001059,19.65
89194ad93abffff,E01003903,4.2
89194ad93abffff,E01003902,37.56
89194ad93abffff,E01003901,1.95
89194ad1853ffff,E01001084,2.31
89194ad1853ffff,E01003087,19.81
89194ad1853ffff,E01003149,8.45
89194ad1853ffff,E01003085,1.26
89194ad1853ffff,E01003144,5.79
89194e60ca7ffff,E01002391,0.21
89194adad6fffff,E01004528,0.21
89194adad6fffff,E01004526,6.66
89194adad6fffff,E01004527,16.9
89194adad6fffff,E01004525,50.57
89194ad3217ffff,E01032740,10.67
89194ad3217ffff,E01003934,0.16
89194ad3217ffff,E01032739,1.1
89195d37137ffff,E01002444,0.04
89194ad8987ffff,E01004130,4.58
89194ad8987ffff,E01004131,0.05
89194ad8987ffff,E01004136,26.39
89195dae90bffff,E01001347,0.54
89195dae90bffff,E01001344,1.49
89195dae90bffff,E01001343,29.1
89194ad0e2fffff,E01000797,8.97
89194ad0e2fffff,E01000709,14.69
89195da6db3ffff,E01001728,1.11
89195da6db3ffff,E01001727,13.45
89195da6db3ffff,E01001827,9.89
89195da6db3ffff,E01001824,28.74
89194e60283ffff,E01002283,0.46
89194e60283ffff,E01002281,22.78
89195dac523ffff,E01002496,1.62
89195dac523ffff,E01032577,15.36
89195dac523ffff,E01002207,16.42
89194ac3143ffff,E01004170,14.28
89194ac3143ffff,E01004174,20.53
89194ac3143ffff,E01004172,12.13
89194ac3143ffff,E01004176,1.21
89194ada34bffff,E01003857,5.54
89194ada34bffff,E01003853,28.66
89195da49cbffff,E01004714,25.07
89195da49cbffff,E01004717,9.45
89194e61c47ffff,E01002382,3.38
